"","date","price","macd1","signal1","macd2","signal2","priceTraded","trade","return","cumReturn"
"2021-03-02",2021-03-02,48378.98828125,12.9968667038696,21.838724467688,12.9968667038696,23.0813410674027,NA,NA,NA,NA
"2021-03-03",2021-03-03,50538.2421875,14.0969606424594,20.978528487107,14.0969606424594,22.5017036206322,NA,NA,NA,NA
"2021-03-04",2021-03-04,48561.16796875,13.251837441455,20.1200072598124,13.251837441455,21.9049380606853,NA,NA,NA,NA
"2021-03-05",2021-03-05,48927.3046875,12.7662218988398,19.3029199974821,12.7662218988398,21.3153434695985,NA,NA,NA,NA
"2021-03-06",2021-03-06,48912.3828125,12.2608624449306,18.5204691583097,12.2608624449306,20.7311834034909,NA,NA,NA,NA
"2021-03-07",2021-03-07,51206.69140625,13.2768345239827,17.9378430878289,13.2768345239827,20.2502576693291,NA,NA,NA,NA
"2021-03-08",2021-03-08,52246.5234375,14.3974134130771,17.5444620128565,14.3974134130771,19.872654814087,NA,NA,NA,NA
"2021-03-09",2021-03-09,54824.1171875,16.5507861921444,17.4340535883329,16.5507861921444,19.6583407094456,NA,NA,NA,NA
"2021-03-10",2021-03-10,56008.55078125,18.3967722063199,17.5410223236648,18.3967722063199,19.5769491931149,56008.55078125,1,0,95.3519539647333
"2021-03-11",2021-03-11,57805.12109375,20.390937576674,17.8576795739992,20.390937576674,19.6294645726993,NA,NA,NA,NA
"2021-03-12",2021-03-12,57332.08984375,21.0120450918881,18.2081646315424,21.0120450918881,19.7186633158728,NA,NA,NA,NA
"2021-03-13",2021-03-13,61243.0859375,23.4629729434823,18.7920322217579,23.4629729434823,19.9602316789444,NA,NA,NA,NA
"2021-03-14",2021-03-14,59302.31640625,23.4228083757745,19.3065629055375,23.4228083757745,20.1836237239012,NA,NA,NA,NA
"2021-03-15",2021-03-15,55907.19921875,20.9749678746884,19.4919412354432,20.9749678746884,20.2346781852423,NA,NA,NA,NA
"2021-03-16",2021-03-16,56804.90234375,19.6467448882573,19.5091416413114,19.6467448882573,20.1967470047916,56804.90234375,-1,0.014218392573846,96.7077054788871
"2021-03-17",2021-03-17,58870.89453125,19.7345615192265,19.5341882944131,19.7345615192265,20.1669285863681,58870.89453125,1,0,96.7077054788871
"2021-03-18",2021-03-18,57858.921875,18.8811974620259,19.4616337574812,18.8811974620259,20.0839781912492,57858.921875,-1,-0.0171896938938616,95.0453296245273
"2021-03-19",2021-03-19,58346.65234375,18.3370221342117,19.3366769104512,18.3370221342117,19.9712713488597,NA,NA,NA,NA
"2021-03-20",2021-03-20,58313.64453125,17.6911831543033,19.1538442708792,17.6911831543033,19.8241688846948,NA,NA,NA,NA
